,DQN
1974,-20
1975,-1
1976,-2
1977,0
1978,0
1979,-3
1980,0
1981,-2
1982,-1
1983,-1
1984,1
1985,-3
1986,-3
1987,-10
1988,-3
1989,0
1990,0
1991,1
1992,-1
1993,-1
1994,-1
1995,1
1996,0
1997,-1
1998,-4
1999,-15
2000,-2
2001,-3
2002,0
2003,-2
2004,-3
2005,-2
2006,-4
2007,-2
2008,-2
2009,0
2010,-3
2011,-1
2012,-1
2013,-2
2014,0
2015,0
2016,0
2017,-12
2018,0
2019,-1
2020,-4
2021,-2
2022,-1
2023,-13
2024,0
2025,-1
2026,0
2027,-1
2028,-2
2029,0
2030,-2
2031,-2
2032,-1
2033,-2
2034,-3
2035,-1
2036,-8
2037,-6
2038,-1
2039,-2
2040,1
2041,0
2042,-2
2043,-1
2044,0
2045,-1
2046,-2
2047,0
2048,-2
2049,0
2050,-1
2051,-2
2052,-1
2053,-1
2054,-6
2055,-1
2056,-1
2057,-3
2058,0
2059,-1
2060,-1
2061,-1
2062,-1
2063,1
2064,-2
2065,0
2066,-17
2067,-2
2068,-1
2069,-1
2070,-1
2071,0
2072,-3
2073,-2
2074,-20
2075,-2
2076,-9
2077,-1
2078,-2
2079,-3
2080,0
2081,0
2082,1
2083,0
2084,-1
2085,1
2086,-1
2087,-13
2088,-1
2089,0
2090,-1
2091,-1
2092,0
2093,-1
2094,0
2095,0
2096,-1
2097,-1
2098,-1
2099,-6
2100,0
2101,-13
2102,-20
2103,-2
2104,-1
2105,-3
2106,-1
2107,0
2108,-1
2109,-3
2110,-3
2111,-2
2112,0
2113,1
2114,0
2115,-20
2116,-1
2117,-1
2118,-1
2119,-2
2120,-2
2121,0
2122,-1
2123,-1
2124,-7
2125,-10
2126,0
2127,-3
2128,-1
2129,-3
2130,0
2131,-2
2132,-9
2133,-1
2134,1
2135,-4
2136,-1
2137,-2
2138,-1
2139,-1
2140,0
2141,-1
2142,-8
2143,0
2144,-2
2145,-9
2146,-1
2147,-1
2148,-2
2149,-1
2150,-2
2151,-1
2152,-5
2153,-14
2154,-11
2155,-1
2156,-5
2157,-20
2158,-2
2159,-20
2160,0
2161,-1
2162,0
2163,-1
2164,0
2165,0
2166,-1
2167,-12
2168,-1
2169,-10
2170,-1
2171,0
2172,0
2173,0
2174,-3
2175,-3
2176,-6
2177,-4
2178,0
2179,0
2180,-3
2181,0
2182,0
2183,-12
2184,-5
2185,-1
2186,-1
2187,-1
2188,-1
2189,-1
2190,-1
2191,1
2192,-3
2193,-1
2194,-2
2195,0
2196,-2
2197,-1
2198,-1
2199,-6
2200,-3
2201,-3
2202,-5
2203,-20
2204,0
2205,0
2206,-1
2207,1
2208,0
2209,-3
2210,-1
2211,1
2212,-2
2213,-1
2214,-3
2215,-20
2216,-15
2217,-1
2218,0
2219,-1
2220,-1
2221,-2
2222,1
2223,-1
